covered_entity_name,state,covered_entity_type,breach_type,location_of_breached_info,individuals_affected,breach_submission_date,business_associate_present,outreach_priority
Middlesex Sheriff's Office,MA,Healthcare Provider,Hacking/IT Incident,Network Server,501,01/20/2026,No,LOW
"Mary B. Toporcer, MD, P.C.",PA,Healthcare Provider,Hacking/IT Incident,Email,501,05/28/2025,No,LOW
"Associated Radiologists of the Finger Lakes, P.C.",NY,Business Associate,Hacking/IT Incident,Network Server,501,12/29/2025,Yes,LOW
"Doctors Hospital at Renaissance, LTD",TX,Healthcare Provider,Hacking/IT Incident,Network Server,501,05/15/2025,No,LOW
Washington Gastroenterology,WA,Healthcare Provider,Hacking/IT Incident,Network Server,501,05/09/2025,No,LOW
Glendale Obstetrics & Gynecology PCA,AZ,Healthcare Provider,Hacking/IT Incident,Network Server,501,12/24/2025,No,LOW
"Minnesota Orthodontics and Dentofacial Orthopedics, P.A.",MN,Healthcare Provider,Hacking/IT Incident,Network Server,501,05/05/2025,No,LOW
"Benefits Management Group, Inc.",IL,Business Associate,Hacking/IT Incident,Network Server,501,01/24/2025,Yes,LOW
CardioVascular Health Clinic,OK,Healthcare Provider,Hacking/IT Incident,Network Server,501,05/03/2025,No,LOW
Devereux Foundation,PA,Healthcare Provider,Hacking/IT Incident,Network Server,501,01/08/2026,No,LOW
"Home, Hope and Healing, Inc.",ME,Healthcare Provider,Hacking/IT Incident,Network Server,501,01/09/2026,No,LOW
"ARC Community Services, Inc.",WI,Healthcare Provider,Hacking/IT Incident,Network Server,501,02/02/2025,No,LOW
Community Health Action of Staten Island,NY,Healthcare Provider,Hacking/IT Incident,Email,501,03/09/2026,No,LOW
Central Texas MHMR Center dba Center for Life Resource,TX,Healthcare Provider,Hacking/IT Incident,Network Server,501,01/16/2026,No,LOW
Marin Cancer Care,CA,Healthcare Provider,Hacking/IT Incident,Network Server,501,02/06/2026,No,LOW
Carolina Foot & Ankle Associates,NC,Healthcare Provider,Hacking/IT Incident,Network Server,501,02/09/2026,No,LOW
Issaqueena Pediatric Dentistry PA,SC,Healthcare Provider,Hacking/IT Incident,Network Server,501,02/04/2026,No,LOW
Dragonfly Health,AZ,Business Associate,Hacking/IT Incident,Email,501,12/27/2024,Yes,LOW
Reproductive Medicine Associates of Michigan,MI,Healthcare Provider,Hacking/IT Incident,Network Server,501,12/19/2025,No,LOW
Mitchell County Department of Social Services,NC,Healthcare Provider,Hacking/IT Incident,Network Server,501,12/19/2025,No,LOW
AltaMed Health Services Corporation,CA,Healthcare Provider,Hacking/IT Incident,Network Server,501,02/26/2026,No,LOW
North Hudson Community Action Corporation,NJ,Healthcare Provider,Hacking/IT Incident,Network Server,501,03/28/2025,No,LOW
Resource Corporation of America,TX,Business Associate,Hacking/IT Incident,Network Server,501,02/13/2026,Yes,LOW
Diversified Services Enterprises,FL,Business Associate,Hacking/IT Incident,Network Server,501,06/13/2025,Yes,LOW
Glendora Surgery Center,CA,Healthcare Provider,Hacking/IT Incident,Network Server,501,03/27/2026,No,LOW
Baptist Hospitals of Southeast Texas,TX,Healthcare Provider,Hacking/IT Incident,Network Server,501,03/28/2025,No,LOW
Laboratory Services Cooperative,WA,Healthcare Provider,Hacking/IT Incident,Network Server,501,11/20/2024,No,LOW
"Baltimore Medical System, Inc.",MA,Healthcare Provider,Hacking/IT Incident,Network Server,501,12/12/2025,No,LOW
"Welts, White, & Fontaine PC",NH,Business Associate,Hacking/IT Incident,Network Server,500,03/14/2025,Yes,LOW
Kin Counseling Services PLLC,CO,Healthcare Provider,Hacking/IT Incident,Email,500,03/02/2026,No,LOW
Columbia Eye Clinic,SC,Healthcare Provider,Hacking/IT Incident,Network Server,500,03/14/2025,No,LOW
McEwen & Associates,TX,Business Associate,Hacking/IT Incident,Network Server,500,08/21/2025,Yes,LOW
"CPS Solutions, LLC",OH,Business Associate,Hacking/IT Incident,Email,500,02/10/2025,Yes,LOW
McEwen & Associates,TX,Business Associate,Hacking/IT Incident,Network Server,500,08/21/2025,Yes,LOW
McEwen & Associates,TX,Business Associate,Hacking/IT Incident,Network Server,500,08/21/2025,Yes,LOW
Madison Healthcare Services,MN,Healthcare Provider,Hacking/IT Incident,Network Server,500,12/02/2025,No,LOW
Friesen Group,CA,Healthcare Provider,Hacking/IT Incident,Network Server,500,08/08/2025,No,LOW
"Berkeley Research Group, LLC",CA,Business Associate,Hacking/IT Incident,Network Server,500,04/30/2025,Yes,LOW
Roseland Community Hospital Association,IL,Healthcare Provider,Hacking/IT Incident,Network Server,500,08/01/2024,No,LOW
Humboldt Independent Practice Association (Humboldt IPA),CA,Healthcare Provider,Hacking/IT Incident,Email,500,11/11/2024,No,LOW
CARE Clinic,MN,Healthcare Provider,Hacking/IT Incident,Email,500,04/10/2026,No,LOW
County of Catawba,NC,Health Plan,Hacking/IT Incident,Network Server,500,11/19/2025,No,LOW
"FMRS Health Systems, Inc.",WV,Healthcare Provider,Hacking/IT Incident,Network Server,500,04/28/2026,No,LOW
Sharp HealthCare,CA,Healthcare Provider,Hacking/IT Incident,Network Server,500,06/06/2025,Yes,LOW
"Heywood Healthcare Inc. including Henry Heywood Memorial Hospital, Athol Memorial Hospital, and Heywood Medical Group, Inc. (“Heywood”)",MA,Healthcare Provider,Hacking/IT Incident,Network Server,500,12/12/2025,No,LOW
Maryville Academy,IL,Healthcare Provider,Hacking/IT Incident,Network Server,500,09/13/2024,No,LOW
Kitsap Mental Health Services,WA,Healthcare Provider,Hacking/IT Incident,Network Server,500,12/16/2024,No,LOW
Lumio Dental,OK,Business Associate,Hacking/IT Incident,"Network Server, Other",500,03/29/2026,Yes,LOW
Rocky Mountain Care,UT,Business Associate,Hacking/IT Incident,Network Server,500,03/27/2026,Yes,LOW
North Los Angeles County Regional Center,CA,Business Associate,Hacking/IT Incident,Network Server,500,01/06/2025,Yes,LOW
Hale Makua Health Services,HI,Healthcare Provider,Hacking/IT Incident,Network Server,500,10/29/2025,No,LOW
"Rosch Visionary Systems, Inc.",NY,Business Associate,Hacking/IT Incident,Network Server,500,03/23/2026,Yes,LOW
Integrated Pain Associates,TX,Healthcare Provider,Hacking/IT Incident,Network Server,500,05/01/2026,No,LOW
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,Hacking/IT Incident,Network Server,500,05/04/2026,No,LOW
New Horizons Behavioral Health,GA,Healthcare Provider,Hacking/IT Incident,Network Server,500,03/18/2026,No,LOW
Anne Arundel County Department of Health,MD,Healthcare Provider,Hacking/IT Incident,Network Server,500,05/15/2025,No,LOW
HEALTH AND WELLNESS OF TEXAS,TX,Healthcare Provider,Unauthorized Access/Disclosure,"Electronic Medical Record, Email",500,04/16/2025,No,LOW
